Clave de incidencia,Nombre del proyecto,Resumen,Descripción,Tipo de Incidencia,Principal,Story Point,Creada,Paso a Done,j.10% Título descriptivo,k.10% Claridad y consistencia,l.10% Estándar JIT,m.20% Uso de Gherkin,n.10% Criterios SMART,o.10% Segmentación INVEST,p.5% Revisión colaborativa,q.10% Seguimiento y ajustes,r.5% Prioridad y valor,s.5% Documentación adecuada,t.5% Uso de plantilla estándar,v. Suma de checklist,Tipo Normalizado,Explicación Título descriptivo,Explicación Claridad y consistencia,Explicación Uso de Gherkin,Explicación Criterios SMART,Explicación Segmentación INVEST,Explicación Uso de plantilla estándar
1168920,Tribu API Canales y transaccional producto,Dado que necesito enviar archivos al emisor de TC Cuando: Se debe realizar el cargue en postcard Entonces: Espero que queden los archivos en la ruta esperada para realizar el respectivo cargue,,Criterio de aceptación,1168918,,27/02/2025 22:30,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí, el texto está en formato Gherkin porque sigue la estructura de Given/When/Then. En la primera línea se establece el contexto inicial (Given), luego se describe la acción a realizar (When) y por último se especifica el resultado esperado (Then).","SÍ cumple SMART. Respuesta LLM: Sí. Específico: Se especifica que se deben enviar archivos al emisor de TC. Medible: Se podrá medir si los archivos quedan en la ruta esperada. Alcanzable: Es posible realizar el cargue en postcard. Relevante: Es relevante para el proceso de envío de archivos al emisor de TC. Tiempo definido: No se especifica un plazo específico, por lo que podría mejorarse en este",,
1168919,Tribu API Canales y transaccional producto,Dado que necesito enviar archivos al emisor de TC Cuando: Se debe realizar el cargue en postcard Entonces: Espero que se envÃ­en los 13 archivos al servidor de Portal en una ruta diferente a la de refresco TD,,Criterio de aceptación,1168918,,27/02/2025 22:30,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí, este texto está en formato Given/When/Then. 

Se puede identificar fácilmente las secciones de Given, When y Then en el texto, lo cual indica que sigue la estructura de Gherkin.","SÍ cumple SMART. Respuesta LLM: Sí. Específico: Se menciona claramente la cantidad de archivos a enviar y la ruta específica. Medible: Se puede medir si se envían los 13 archivos a la ruta indicada. Alcanzable: Parece alcanzable enviar los archivos a la ruta correcta. Relevante: Es relevante para el proceso de envío de archivos. Tiempo definido: No está claramente definido, se sugiere especificar",,
1168801,Capa de Integración V2,"Dado que se consuma el API de  CustomerInformationManagement. Cuando se consuma el recurso de ""/V3/enterprise/customer/safe-data-PUT"" y no se enviÃ© X-NetWorkOwner. Entonces se debe obtener respuesta del backend",,Criterio de aceptación,1125937,,27/02/2025 17:28,03/03/2025 13:07,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí. El texto está en formato Gherkin (Given/When/Then) porque contiene claramente las secciones de ""Dado"", ""Cuando"" y ""Entonces"", estableciendo una condición inicial, una acción y el resultado esperado.","SÍ cumple SMART. Respuesta LLM: Sí. Este criterio cumple con los principios SMART:
- Específico: Se establece claramente qué se debe hacer y cuál es el resultado esperado.
- Medible: Se puede medir si se obtiene la respuesta del backend al consumir el recurso especificado.
- Alcanzable: Es un objetivo alcanzable ya que se trata de un requerimiento técnico concreto.
- Relevante: Es relevante para el",,
1168582,Tribu API Canales y transaccional producto,TX 429-529 - Cambio de filtro masificación -  Pago de convenios con Subconvenio,"Yo como Analista de Migración de Switch requiero que se modifique el filtro para que todas las transacciones de pago de convenios que tienen subconvenios que llegan desde los canales externos del banco (CB, ATM, AVALPAY, INTERNET AVAL) sean procesados por el switch Capa de integración con la finalidad que se cumpla con el plan de migración. ",Historia,1161783,,27/02/2025 16:13,05/03/2025 21:58,10.0,10.0,10.0,0.0,0.0,0.0,5.0,10.0,5.0,5.0,0.0,55.0,historia,"SÍ es título descriptivo. Respuesta LLM: Sí. El título describe claramente el cambio que se va a realizar (cambio de filtro masificación) y menciona la funcionalidad específica que se va a implementar (pago de convenios con subconvenio), lo cual está correlacionado con la descripción proporcionada.","SÍ cumple claridad. Respuesta LLM: No

La historia de usuario es confusa y contiene demasiada jerga y detalles técnicos que pueden resultar difíciles de entender para miembros no técnicos del equipo. Además, la descripción no expande claramente la información proporcionada en el resumen/título y no explica de manera concisa qué es lo que se necesita y por qué.",,,"NO cumple INVEST. Respuesta LLM: No.

Explicación: El texto no cumple con los criterios de INVEST ya que no es clara, específica o pequeña en su descripción. Se podría mejorar para cumplir con estos criterios.","No se detecta plantilla 'Como..., quiero..., para...'."
1167975,Tribu API Canales y transaccional producto,TX 162 - 262 Realizar desarrollo de las transacciones Consulta Titular TD/TC - Bus,"*Como usuario titular de una tarjeta de dÃ©bito o crÃ©dito, quiero poder consultar la titularidad de mi tarjeta en el sistema para asegurarme de que mis datos personales y de la tarjeta estÃ©n correctos y actualizados.*",Historia,1167950,,27/02/2025 12:04,05/03/2025 21:57,10.0,10.0,10.0,0.0,0.0,10.0,5.0,10.0,5.0,5.0,5.0,70.0,historia,"SÍ es título descriptivo. Respuesta LLM: Sí. El título describe claramente el objetivo de desarrollar las transacciones para consultar la titularidad de tarjetas de débito/crédito, lo cual está correlacionado con la descripción proporcionada.","SÍ cumple claridad. Respuesta LLM: Sí, la historia de usuario es clara, concisa y fácil de entender. Explica de manera precisa lo que el usuario quiere lograr y por qué lo necesita. La descripción amplía el objetivo de la historia de usuario de manera coherente.",,,"SÍ cumple INVEST. Respuesta LLM: Sí, cumple con los criterios INVEST. Es independiente, negociable, valiosa, estimable, pequeña y testeable. La historia de usuario se centra en una tarea específica y claramente definida que agrega valor al usuario, es fácilmente estimable en términos de esfuerzo y tiempo, y se puede probar fácilmente para verificar su correcta implementación.","SÍ usa plantilla 'Como..., quiero..., para...'."
1166808,Tribu API Canales y transaccional producto,Dado que: se espera una alta concurrencia de transacciones con Tarjeta Credito cuando se ingresan por los distintos canales entonces se espera validar  los topes maximos y minimos de respuesta del servicio frente a la gran carga de stress recibida.,,Criterio de aceptación,1060318,,26/02/2025 15:54,04/03/2025 01:44,0.0,0.0,10.0,20.0,0.0,0.0,5.0,10.0,5.0,5.0,0.0,55.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí, este texto está en formato Gherkin (Given/When/Then) ya que se establece una condición inicial (Dado que:), se describe una acción (cuando se ingresan por los distintos canales) y se especifica una consecuencia o resultado esperado (entonces se espera validar los topes maximos y minimos de respuesta del servicio frente a la gran carga de stress recibida).","NO cumple SMART. Respuesta LLM: No.

No es un criterio SMART porque no es específico ni medible. No se especifica cuáles son los topes máximos y mínimos de respuesta del servicio, ni se establecen métricas claras para medir el cumplimiento de este criterio.",,
1166807,Tribu API Canales y transaccional producto,Dado que: se espera una alta concurrencia de transacciones con Tarjeta Debito cuando se ingresan por los distintos canales entonces se espera validar  los topes maximos y minimos de respuesta del servicio frente a la gran carga de stress recibida.,,Criterio de aceptación,1060318,,26/02/2025 15:54,04/03/2025 01:44,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. 

El texto no está en formato Gherkin (Given/When/Then) porque no sigue la estructura clara de ""Dado/Cuando/Entonces"". Aunque comienza con ""Dado que"" y ""entonces"", no se presenta de manera específica lo que se está dando, lo que se está haciendo y lo que se espera como resultado. El texto también es muy extenso y no está claramente dividido en secciones.","SÍ cumple SMART. Respuesta LLM: Sí. El criterio de aceptación es SMART:
- Específico: Se espera una alta concurrencia de transacciones con Tarjeta Debito y validar los topes máximos y mínimos de respuesta del servicio frente a la gran carga de stress recibida.
- Medible: Se puede medir la cantidad de transacciones con Tarjeta Debito y los tiempos de respuesta del servicio.
- Alcanzable: Es posible validar los topes",,
1166804,Tribu API Canales y transaccional producto,Dado que: se espera una alta concurrencia de transacciones con Tarjeta Credito cuando se ingresan por los distintos canales entonces se espera validar  los topes maximos y minimos de respuesta del servicio frente a la gran carga de stress recibida.,,Criterio de aceptación,1060344,,26/02/2025 15:53,04/03/2025 01:44,0.0,0.0,10.0,20.0,0.0,0.0,5.0,10.0,5.0,5.0,0.0,55.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí, este texto está en formato Gherkin (Given/When/Then) ya que se establece una condición inicial (Dado que:), se describe una acción (cuando se ingresan por los distintos canales) y se especifica una consecuencia o resultado esperado (entonces se espera validar los topes maximos y minimos de respuesta del servicio frente a la gran carga de stress recibida).","NO cumple SMART. Respuesta LLM: No.

No es un criterio SMART porque no es específico ni medible. No se especifica cuáles son los topes máximos y mínimos de respuesta del servicio, ni se establecen métricas claras para medir el cumplimiento de este criterio.",,
1166803,Tribu API Canales y transaccional producto,Dado que: se espera una alta concurrencia de transacciones con Tarjeta Debito cuando se ingresan por los distintos canales entonces se espera validar  los topes maximos y minimos de respuesta del servicio frente a la gran carga de stress recibida.,,Criterio de aceptación,1060344,,26/02/2025 15:53,04/03/2025 01:44,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. 

El texto no está en formato Gherkin (Given/When/Then) porque no sigue la estructura clara de ""Dado/Cuando/Entonces"". Aunque comienza con ""Dado que"" y ""entonces"", no se presenta de manera específica lo que se está dando, lo que se está haciendo y lo que se espera como resultado. El texto también es muy extenso y no está claramente dividido en secciones.","SÍ cumple SMART. Respuesta LLM: Sí. El criterio de aceptación es SMART:
- Específico: Se espera una alta concurrencia de transacciones con Tarjeta Debito y validar los topes máximos y mínimos de respuesta del servicio frente a la gran carga de stress recibida.
- Medible: Se puede medir la cantidad de transacciones con Tarjeta Debito y los tiempos de respuesta del servicio.
- Alcanzable: Es posible validar los topes",,
1166734,Tribu API Canales y transaccional producto,Dado que: si se realiza alguna modificaciÃ²n de la informaciÃ²n para la Tarjeta Credito cuando ingreso por los distintos canales entonces espero que sea rechazada la transacciÃ²n debido a que los datos no coinciden,,Criterio de aceptación,1136511,,26/02/2025 15:36,02/03/2025 23:13,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. El texto no está en formato Gherkin (Given/When/Then) porque no sigue la estructura específica de ""Dado"", ""Cuando"" y ""Entonces"". Aunque menciona elementos de la estructura (Dado, cuando, entonces), no los utiliza de forma clara y coherente.","SÍ cumple SMART. Respuesta LLM: Sí, es un criterio SMART. 

- Específico: El criterio detalla claramente qué se espera que suceda ante una modificación en la información de la tarjeta de crédito.
- Medible: Se puede medir si la transacción es rechazada o no en caso de que los datos no coincidan.
- Alcanzable: Es posible implementar un sistema que verifique la información de la tarjeta de crédito y",,
1166732,Tribu API Canales y transaccional producto,Dado que: se genera una transaccion con Tarjeta Credito cuando ingreso por los distintos canales entonces espero que llegue la mensajeria a la maquina de Postilion (Realtime) para la validaciÃ²n de la informaciÃ²n.,,Criterio de aceptación,1136511,,26/02/2025 15:36,02/03/2025 23:13,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. El texto no está en formato Gherkin (Given/When/Then) porque no sigue la estructura clara de estos tres elementos. Aunque menciona un ""Dado que"" al principio, los otros elementos (Cuando/Entonces) no están claramente definidos en la oración. Además, la redacción es confusa y no sigue la estructura típica de un escenario de prueba en Gherkin.","SÍ cumple SMART. Respuesta LLM: No

Explicación: Aunque el resumen es específico y relevante, no es medible, alcanzable ni tiene un tiempo definido. No hay indicadores claros para determinar si el criterio ha sido cumplido, no se menciona cómo se va a medir el resultado, ni se establece un plazo límite para cumplirlo.",,
1166731,Tribu API Canales y transaccional producto,Dado que: si se realiza alguna modificaciÃ²n de la informaciÃ²n para la Tarjeta Debito cuando ingreso por los distintos canales entonces espero que sea rechazada la transacciÃ²n debido a que los datos no coinciden,,Criterio de aceptación,1136511,,26/02/2025 15:36,02/03/2025 23:13,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. El texto no está en formato Gherkin (Given/When/Then) ya que no sigue la estructura clara de los tres pasos. Aunque menciona el ""Dado que"" y el ""Cuando"", no presenta de manera explícita un ""Entonces"" que describa el resultado esperado de la acción. Además, está escrito de una forma confusa y poco clara.","SÍ cumple SMART. Respuesta LLM: Sí, es un criterio SMART.
- Específico: Se refiere a la modificación de la información de la Tarjeta Debito en distintos canales y la transacción rechazada si los datos no coinciden.
- Medible: Se puede medir si la transacción es rechazada o no.
- Alcanzable: Es posible realizar modificaciones en la información de la Tarjeta Debito y verificar si la transacción es",,
1166730,Tribu API Canales y transaccional producto,Dado que: se genera una transaccion con Tarjeta Debito cuando ingreso por los distintos canales entonces espero que llegue la mensajeria a la maquina de Postilion (Realtime) para la validaciÃ²n de la informaciÃ²n.,,Criterio de aceptación,1136511,,26/02/2025 15:36,02/03/2025 23:13,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. Este texto no está en formato Gherkin (Given/When/Then) porque no sigue la estructura clara de ""Dado/Cuando/Entonces"". A pesar de que utiliza algunas palabras clave como ""Dado"" y ""cuando"", la estructura general de la oración es confusa y no sigue el formato específico de Gherkin.","SÍ cumple SMART. Respuesta LLM: Sí. Específico: Se menciona claramente cuál es el resultado esperado. Medible: Se puede verificar si la mensajería llega a la máquina de Postilion para validación. Alcanzable: Parece ser un objetivo alcanzable. Relevante: Es relevante para el proceso de validación de transacciones. Tiempo definido: Se menciona que la mensajería debe llegar en tiempo real, por lo",,
1166729,Tribu API Canales y transaccional producto,Dado que: se necesita consultar las TD y TC cuando se incribe a distintos comercios entonces espero que haga cruce con la información reportada.,,Criterio de aceptación,1136511,,26/02/2025 15:36,02/03/2025 23:13,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. Este texto no está en formato Gherkin (Given/When/Then) ya que no sigue la estructura requerida de las tres secciones claramente separadas. En su lugar, simplemente enuncia una serie de acciones sin una división clara entre el contexto, la acción y el resultado esperado.","SÍ cumple SMART. Respuesta LLM: Sí. Este criterio de aceptación es SMART porque es específico al indicar claramente lo que se espera, es medible ya que se puede verificar si se consulta y se hace el cruce de información, es alcanzable ya que es una tarea factible de realizar, es relevante para el proceso de inscripción de comercios y tiene un tiempo definido al mencionar que se espera que se haga cuando se inscribe a distintos comercios.",,
1166400,Tribu API Canales y transaccional producto,Dado que: necesito visualizar mis TD y TC cuando ingreso por los distintos canales entonces espero que se muestre Ãºnicamente las tarjetas de crÃ©dito activas,,Criterio de aceptación,1140090,,26/02/2025 12:19,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. Este texto no está en formato Gherkin (Dado/Cuando/Entonces) porque no sigue la estructura establecida de Given/When/Then. Además, la redacción es confusa y no está claramente definido cuál es el escenario, la acción y el resultado esperado. Sería necesario reescribirlo siguiendo el formato adecuado para convertirlo en un caso de prueba Gherkin.",SÍ cumple SMART. Respuesta LLM: Sí. Es específico porque se indica claramente qué se espera ver al ingresar por los distintos canales. Es medible ya que se puede verificar si se muestran únicamente las tarjetas de crédito activas. Es alcanzable porque es factible mostrar únicamente las tarjetas de crédito activas. Es relevante ya que cumple con el objetivo de visualizar únicamente las tarjetas de crédito activas. No,,
1166399,Tribu API Canales y transaccional producto,Dado que: necesito visualizar mis TD y TC cuando ingreso por los distintos canales entonces espero que para la TC me muestre el numero de tarjeta y  estado,,Criterio de aceptación,1140090,,26/02/2025 12:18,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. 

El texto menciona una acción que se debe realizar (necesito visualizar mis TD y TC), pero no sigue el formato específico de Given/When/Then. Además, no está claramente dividido en las secciones correspondientes.","SÍ cumple SMART. Respuesta LLM: Sí.

Explicación: El criterio de aceptación es específico en cuanto a lo que se espera que el sistema haga, es medible ya que se puede verificar si se muestra el número de tarjeta y estado, es alcanzable ya que es una función que puede ser implementada, es relevante para el usuario ya que es una información importante para visualizar, y está definido en términos de tiempo ya que se espera que se cumpla al ingresar por",,
